StringID   Type       x          y          demand     ReadyTime    DueDate      ServiceTime 
D0         d          35.0       35.0       0.0        0.0          1000.0       0.0         
S0         f          35.0       35.0       0.0        0.0          1000.0       0.0         
S1         f          61.0       37.0       0.0        0.0          1000.0       0.0         
S2         f          74.0       39.0       0.0        0.0          1000.0       0.0         
S3         f          47.0       57.0       0.0        0.0          1000.0       0.0         
S4         f          57.0       65.0       0.0        0.0          1000.0       0.0         
S5         f          29.0       59.0       0.0        0.0          1000.0       0.0         
S6         f          34.0       71.0       0.0        0.0          1000.0       0.0         
S7         f          22.0       58.0       0.0        0.0          1000.0       0.0         
S8         f          7.0        61.0       0.0        0.0          1000.0       0.0         
S9         f          18.0       41.0       0.0        0.0          1000.0       0.0         
S10        f          5.0        39.0       0.0        0.0          1000.0       0.0         
S11        f          14.0       20.0       0.0        0.0          1000.0       0.0         
S12        f          0.0        26.0       0.0        0.0          1000.0       0.0         
S13        f          24.0       25.0       0.0        0.0          1000.0       0.0         
S14        f          26.0       6.0        0.0        0.0          1000.0       0.0         
S15        f          34.0       20.0       0.0        0.0          1000.0       0.0         
S16        f          41.0       5.0        0.0        0.0          1000.0       0.0         
S17        f          50.0       9.0        0.0        0.0          1000.0       0.0         
S18        f          61.0       14.0       0.0        0.0          1000.0       0.0         
S19        f          62.0       21.0       0.0        0.0          1000.0       0.0         
S20        f          74.0       30.0       0.0        0.0          1000.0       0.0         
C1         c1         41.0       49.0       10.0       16.0         229.0        10.0        
C2         c2         35.0       17.0       7.0        18.0         481.0        10.0        
C3         c1         55.0       45.0       13.0       266.0        967.0        10.0        
C4         c2         55.0       20.0       19.0       701.0        883.0        10.0        
C5         c1         15.0       30.0       26.0       21.0         535.0        10.0        
C6         c1         25.0       30.0       3.0        391.0        873.0        10.0        
C7         c2         20.0       50.0       5.0        22.0         210.0        10.0        
C8         c2         10.0       43.0       9.0        27.0         395.0        10.0        
C9         c2         55.0       60.0       16.0       409.0        849.0        10.0        
C10        c2         30.0       60.0       16.0       489.0        787.0        10.0        
C11        c2         20.0       65.0       12.0       584.0        938.0        10.0        
C12        c2         50.0       35.0       19.0       769.0        975.0        10.0        
C13        c1         30.0       25.0       23.0       12.0         366.0        10.0        
C14        c2         15.0       10.0       20.0       42.0         436.0        10.0        
C15        c2         30.0       5.0        8.0        697.0        959.0        10.0        
C16        c1         10.0       20.0       19.0       385.0        807.0        10.0        
C17        c2         5.0        30.0       2.0        659.0        945.0        10.0        
C18        c2         20.0       40.0       12.0       301.0        615.0        10.0        
C19        c2         15.0       60.0       17.0       103.0        493.0        10.0        
C20        c2         45.0       65.0       9.0        609.0        839.0        10.0        
C21        c1         45.0       20.0       11.0       19.0         473.0        10.0        
C22        c1         45.0       10.0       18.0       607.0        963.0        10.0        
C23        c2         55.0       5.0        29.0       37.0         625.0        10.0        
C24        c2         65.0       35.0       3.0        646.0        960.0        10.0        
C25        c1         65.0       20.0       6.0        34.0         358.0        10.0        
C26        c2         45.0       30.0       17.0       19.0         367.0        10.0        
C27        c2         35.0       40.0       16.0       97.0         679.0        10.0        
C28        c2         41.0       37.0       16.0       215.0        637.0        10.0        
C29        c2         64.0       42.0       9.0        639.0        960.0        10.0        
C30        c1         40.0       60.0       21.0       422.0        726.0        10.0        
C31        c1         31.0       52.0       27.0       224.0        972.0        10.0        
C32        c1         35.0       69.0       23.0       312.0        662.0        10.0        
C33        c1         53.0       52.0       11.0       75.0         583.0        10.0        
C34        c1         65.0       55.0       14.0       37.0         424.0        10.0        
C35        c2         63.0       65.0       8.0        404.0        948.0        10.0        
C36        c2         2.0        60.0       5.0        577.0        948.0        10.0        
C37        c1         20.0       20.0       8.0        296.0        882.0        10.0        
C38        c2         5.0        5.0        16.0       432.0        888.0        10.0        
C39        c2         60.0       12.0       31.0       113.0        611.0        10.0        
C40        c1         40.0       25.0       9.0        652.0        910.0        10.0        
C41        c1         42.0       7.0        5.0        570.0        961.0        10.0        
C42        c2         24.0       12.0       5.0        26.0         227.0        10.0        
C43        c2         23.0       3.0        7.0        180.0        760.0        10.0        
C44        c2         11.0       14.0       18.0       440.0        852.0        10.0        
C45        c2         6.0        38.0       16.0       366.0        960.0        10.0        
C46        c2         2.0        48.0       1.0        36.0         450.0        10.0        
C47        c2         8.0        56.0       27.0       467.0        915.0        10.0        
C48        c2         13.0       52.0       36.0       274.0        702.0        10.0        
C49        c2         6.0        68.0       30.0       583.0        946.0        10.0        
C50        c2         47.0       47.0       13.0       433.0        673.0        10.0        
C51        c2         49.0       58.0       10.0       570.0        963.0        10.0        
C52        c2         27.0       43.0       9.0        59.0         565.0        10.0        
C53        c2         37.0       31.0       14.0       261.0        643.0        10.0        
C54        c2         57.0       29.0       18.0       23.0         379.0        10.0        
C55        c1         63.0       23.0       2.0        227.0        783.0        10.0        
C56        c1         53.0       12.0       6.0        480.0        960.0        10.0        
C57        c2         32.0       12.0       7.0        360.0        698.0        10.0        
C58        c1         36.0       26.0       18.0       288.0        626.0        10.0        
C59        c1         21.0       24.0       28.0       18.0         376.0        10.0        
C60        c1         17.0       34.0       3.0        454.0        856.0        10.0        
C61        c1         12.0       24.0       13.0       61.0         819.0        10.0        
C62        c2         24.0       58.0       19.0       598.0        964.0        10.0        
C63        c1         27.0       69.0       10.0       424.0        955.0        10.0        
C64        c2         15.0       77.0       9.0        629.0        911.0        10.0        
C65        c2         62.0       77.0       20.0       50.0         330.0        10.0        
C66        c2         49.0       73.0       25.0       442.0        912.0        10.0        
C67        c2         67.0       5.0        25.0       44.0         433.0        10.0        
C68        c1         56.0       39.0       36.0       162.0        622.0        10.0        
C69        c1         37.0       47.0       6.0        346.0        714.0        10.0        
C70        c2         37.0       56.0       5.0        22.0         286.0        10.0        
C71        c2         57.0       68.0       15.0       645.0        861.0        10.0        
C72        c1         47.0       16.0       25.0       23.0         483.0        10.0        
C73        c1         44.0       17.0       9.0        765.0        969.0        10.0        
C74        c1         46.0       13.0       8.0        376.0        628.0        10.0        
C75        c1         49.0       11.0       18.0       453.0        719.0        10.0        
C76        c1         49.0       42.0       13.0       93.0         479.0        10.0        
C77        c1         53.0       43.0       14.0       20.0         441.0        10.0        
C78        c2         61.0       52.0       3.0        32.0         620.0        10.0        
C79        c1         57.0       48.0       23.0       26.0         389.0        10.0        
C80        c1         56.0       37.0       6.0        22.0         541.0        10.0        
C81        c1         55.0       54.0       26.0       28.0         338.0        10.0        
C82        c2         15.0       47.0       16.0       604.0        896.0        10.0        
C83        c1         14.0       37.0       11.0       412.0        810.0        10.0        
C84        c1         11.0       31.0       7.0        176.0        586.0        10.0        
C85        c1         16.0       22.0       41.0       326.0        966.0        10.0        
C86        c2         4.0        18.0       35.0       804.0        954.0        10.0        
C87        c1         28.0       18.0       26.0       535.0        563.0        10.0        
C88        c2         26.0       52.0       9.0        165.0        617.0        10.0        
C89        c2         26.0       35.0       15.0       396.0        856.0        10.0        
C90        c1         31.0       67.0       3.0        442.0        726.0        10.0        
C91        c1         15.0       19.0       1.0        295.0        785.0        10.0        
C92        c1         22.0       22.0       2.0        24.0         598.0        10.0        
C93        c1         18.0       24.0       22.0       512.0        696.0        10.0        
C94        c1         26.0       27.0       27.0       434.0        742.0        10.0        
C95        c1         25.0       24.0       20.0       15.0         540.0        10.0        
C96        c1         22.0       27.0       11.0       808.0        974.0        10.0        
C97        c1         25.0       21.0       12.0       524.0        678.0        10.0        
C98        c1         19.0       21.0       10.0       315.0        651.0        10.0        
C99        c1         20.0       26.0       9.0        28.0         266.0        10.0        
C100       c1         18.0       18.0       17.0       133.0        133.0        10.0        

E Battery capacity        181.83    
W^1 Truck load capacity   250.00    
W^2 Trailer load capacity 750.00    
F^1 Truck cost            850.00    
F^2 Complete vehicle cost 1000.00   
alpha Energy consumption per unit distance 1.00      
beta Energy replenished per unit waiting time 0.16      
v Average velocity        1.00      
