StringID   Type       x          y          demand     ReadyTime    DueDate      ServiceTime 
D0         d          40.0       50.0       0.0        0.0          1236.0       0.0         
S0         f          40.0       50.0       0.0        0.0          1236.0       0.0         
S1         f          73.0       52.0       0.0        0.0          1236.0       0.0         
S2         f          90.0       55.0       0.0        0.0          1236.0       0.0         
S3         f          55.0       79.0       0.0        0.0          1236.0       0.0         
S4         f          69.0       89.0       0.0        0.0          1236.0       0.0         
S5         f          32.0       80.0       0.0        0.0          1236.0       0.0         
S6         f          39.0       96.0       0.0        0.0          1236.0       0.0         
S7         f          23.0       80.0       0.0        0.0          1236.0       0.0         
S8         f          4.0        83.0       0.0        0.0          1236.0       0.0         
S9         f          18.0       58.0       0.0        0.0          1236.0       0.0         
S10        f          1.0        56.0       0.0        0.0          1236.0       0.0         
S11        f          13.0       31.0       0.0        0.0          1236.0       0.0         
S12        f          -5.0       38.0       0.0        0.0          1236.0       0.0         
S13        f          26.0       37.0       0.0        0.0          1236.0       0.0         
S14        f          28.0       13.0       0.0        0.0          1236.0       0.0         
S15        f          39.0       31.0       0.0        0.0          1236.0       0.0         
S16        f          48.0       11.0       0.0        0.0          1236.0       0.0         
S17        f          59.0       17.0       0.0        0.0          1236.0       0.0         
S18        f          73.0       23.0       0.0        0.0          1236.0       0.0         
S19        f          74.0       32.0       0.0        0.0          1236.0       0.0         
S20        f          90.0       44.0       0.0        0.0          1236.0       0.0         
C1         c1         45.0       68.0       10.0       0.0          1127.0       90.0        
C2         c1         45.0       70.0       30.0       0.0          1125.0       90.0        
C3         c1         42.0       66.0       10.0       0.0          1129.0       90.0        
C4         c1         42.0       68.0       10.0       584.0        656.0        90.0        
C5         c1         42.0       65.0       10.0       0.0          1130.0       90.0        
C6         c2         40.0       69.0       20.0       0.0          1127.0       90.0        
C7         c1         40.0       66.0       20.0       0.0          1130.0       90.0        
C8         c1         38.0       68.0       20.0       1057.0       1125.0       90.0        
C9         c1         38.0       70.0       10.0       0.0          1125.0       90.0        
C10        c2         35.0       66.0       10.0       779.0        845.0        90.0        
C11        c2         35.0       69.0       10.0       0.0          1126.0       90.0        
C12        c2         25.0       85.0       20.0       176.0        228.0        90.0        
C13        c2         22.0       75.0       30.0       0.0          1115.0       90.0        
C14        c1         22.0       85.0       10.0       0.0          1106.0       90.0        
C15        c2         20.0       80.0       40.0       0.0          1109.0       90.0        
C16        c1         20.0       85.0       40.0       358.0        416.0        90.0        
C17        c2         18.0       75.0       20.0       0.0          1112.0       90.0        
C18        c2         15.0       75.0       20.0       0.0          1110.0       90.0        
C19        c2         15.0       80.0       10.0       0.0          1106.0       90.0        
C20        c1         30.0       50.0       10.0       0.0          1136.0       90.0        
C21        c1         30.0       52.0       20.0       0.0          1135.0       90.0        
C22        c1         28.0       52.0       20.0       0.0          1133.0       90.0        
C23        c2         28.0       55.0       10.0       0.0          1133.0       90.0        
C24        c1         25.0       50.0       10.0       0.0          1131.0       90.0        
C25        c1         25.0       52.0       40.0       0.0          1130.0       90.0        
C26        c1         25.0       55.0       10.0       0.0          1130.0       90.0        
C27        c1         23.0       52.0       10.0       263.0        311.0        90.0        
C28        c1         23.0       55.0       20.0       0.0          1128.0       90.0        
C29        c2         20.0       50.0       10.0       0.0          1126.0       90.0        
